id,domain,category,video_url,title,duration
1,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=Fwsc5Hm6AIA,"""Tell Me About A Time You Had to Deal With Ambiguity"" (Interview QUESTION & TOP SCORING ANSWER!)",8:47
2,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=k1oS6NUZkMk,Behavioural Interview Questions: Conflict with your Manager,5:35
3,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=co3l_yfkPOo,How to prepare for and ace behavioural interviews with Austen McDonald #softwareengineering #coding,1:09:25
4,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=CJVpg4enHPA,LinkedIn Engineering Manager Mock Interview: Engineering Prioritization,16:41
5,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=pNDZ5Qx4uy0,Method overloading Ambiguity | Java tricky questions | TechstackJava,6:53
7,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=fRMn_uUh_ec,Data structure interview questions and answers,23:42
8,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=fQW6-2yfsBY,How To Pass Coding Interviews Like the Top 1%,7:19
9,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=Ti5vfu9arXQ,How to solve a Google coding interview question,25:49
10,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=Q4C3ZRJLnac,How to Solve ANY Coding Interview Question in 6 Steps,12:33
11,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=46dZH7LDbf8,Mock Google Coding Interview with a Meta Intern,47:04
12,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=qz9tKlF431k,Google Coding Interview With A High School Student,57:24
13,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=Ebyesd3mPAA,Google Coding Interview With a Google Software Engineer,26:36
14,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=CqCqX9_86R8,How I Interviewed Candidates at Google,5:09
15,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=ft0owvS5tQA,Top 6 Coding Interview Concepts (Data Structures & Algorithms),10:51
16,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=4tYoVx0QoN0,Medium Google Coding Interview With Ben Awad,51:27
17,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=EuPSibuIKIg,Google Coding Interview With A Competitive Programmer,54:17
18,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=we7ba0slWrc,How to prepare for Google’s technical interview questions,7:51
19,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=rMj6KnxZu5M,Top 5 Coding Interview MISTAKES (from a Google Engineer),8:03
20,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=ajI9R-6saEk,How To Pass Technical Interviews When You Suck At LeetCode,14:32
21,live_coding,REQUIREMENT_CHECK,https://www.youtube.com/watch?v=-QxUp8MwbWw,How To Ace The Google Coding Interview - Complete Guide,36:01
